Comment,Designator,Footprint,LCSC Part #
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
BSC057N08NS3G,"Q2,Q3",PowerPAK_SO-8_Single,C534354
BZX84C12,D2,SOT-23,C112551
LM5122MHX,U1,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_ThermalVias,C77241
PMEG10010ELR-QX,D4,Nexperia_CFP3_SOD-123W,C5361358
SMBJ33A,D1,D_SMB,C78419
SQJ409EP,Q1,PowerPAK_SO-8L_Single,C727776
SS56,D3,D_SMC,C2848695
TPS54560DDAR,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C31966
XAL1010-222MED,FB1,L_Coilcraft_XAL1010-XXX,C5125746
XAL1510-333,L2,L_Coilcraft_XAL1510-333,C3911775
100R,"R9,R10",R_0402_1005Metric,
100k,"R1,R2,R13,R15",R_0402_1005Metric,
100nF,"C6,C9,C15",C_0402_1005Metric,
100pF,C8,C_0402_1005Metric,
100uF,C3,C_1206_3216Metric,
10k,"R6,R7,R18",R_0402_1005Metric,
10nF,C7,C_0402_1005Metric,
10uF,"C1,C2",C_1210_3225Metric,
10uF,C21,C_0805_2012Metric,
10uF/100V,"C10,C11,C12",C_1210_3225Metric,
13k,R14,R_0402_1005Metric,
15nF,C16,C_0402_1005Metric,
1uF,C4,C_0603_1608Metric,
2.2R,"R11,R12",R_0402_1005Metric,
2.2uF,"C17,C18",C_1206_3216Metric,
22uF,"C19,C20",C_0805_2012Metric,
22uF/63V,"C13,C14",C_1206_3216Metric,
24.9k,R16,R_0402_1005Metric,
4.7uF,C5,C_0805_2012Metric,
40.2k,R8,R_0402_1005Metric,
440k,R5,R_0402_1005Metric,
45.3k,R4,R_0402_1005Metric,
52.3k,R17,R_0402_1005Metric,
6.8k,R3,R_0402_1005Metric,
